621	Kennesaw State University	肯尼索州立大学
622	East Tennessee State University	东田纳西州立大学
623	Liberty University	利伯缇大学
624	Bowling Green State University	州立鲍灵格林大学
625	Boise State University	博伊西州立大学
626	Central Michigan University	中央密歇根大学
627	Western Illinois University	西伊利诺伊大学
628	University of Toledo	托莱多大学
629	Indiana University of Pennsylvania	宾夕法尼亚州印第安纳大学
630	Troy University	特洛伊大学
631	Texas A&M University, Kingsville	德州农工大学金斯维尔分校
632	Tuskegee University	塔斯基吉大学
633	Wright State University	莱特州立大学
634	Coastal Carolina University	卡罗莱纳海岸大学
635	University of Missouri, Kansas City	密苏里大学堪萨斯城分校
636	Eastern Michigan University	东密歇根大学
637	University of Central Oklahoma	中央俄克拉荷马大学
638	Metropolitan State University of Denver	丹佛大都会州立大学
639	Columbia College Chicago	芝加哥哥伦比亚学院
640	Youngstown State University	扬斯敦州立大学
641	University of Texas, San Antonio	德克萨斯州，圣安东尼奥大学
642	Colorado Mesa University	科罗拉多州梅萨大学
643	Tennessee State University	田纳西州立大学
644	Texas A&M University, Commerce	德州农工康莫斯分校
645	Eastern Kentucky University	东肯塔基大学
646	Cleveland State University	克利夫兰州立大学
647	Indiana State University	印第安纳州立大学
648	Morgan State University	摩根州立大学
649	Texas Southern University	得克萨斯南方大学
650	Johnson & Wales University	强生威尔士大学
