493,"University of Colorado, Denver",University of Colorado Denver (Denver)
494,"University of Texas, Dallas",University of Texas at Dallas (Richardson)
495,Oglethorpe University,Oglethorpe University (Atlanta)
496,Western State Colorado University,Western State Colorado University (Gunnison)
497,Pace University,Pace University (New York City)
498,"University of North Carolina, Asheville",University of North Carolina at Asheville (Asheville)
499,Oregon Institute of Technology,Oregon Institute of Technology (Klamath Falls)
500,Hastings College,Hastings College (Hastings)
501,East Carolina University,East Carolina University (Greenville)
502,Mary Baldwin College,Mary Baldwin College (Staunton city)
503,University of North Florida,University of North Florida (Jacksonville)
504,Rowan University,Rowan University (Glassboro)
505,Old Dominion University,Old Dominion University (Norfolk)
506,Otterbein University,Otterbein University (Westerville)
507,"California State University, Northridge","California State University, Northridge (Los Angeles)"
508,"University of Alaska, Anchorage",University of Alaska Anchorage (Anchorage)
509,Richard Stockton College of New Jersey,Stockton University (Galloway Township)
510,Elmira College,Elmira College (Elmira)
511,"University of Texas, El Paso",University of Texas at El Paso (El Paso)
512,Emory and Henry College,Emory and Henry College
514,Montclair State University,Montclair State University (Montclair)
515,Bethel College,Bethel College (Mishawaka)
516,"University of Texas, Pan American",University of Texas–Pan American (Edinburg)
517,Hood College,Hood College (Frederick)
518,Alfred University,Alfred University (Alfred)
519,Guilford College,Guilford College (Greensboro)
520,"SUNY, College at Oneonta",State University of New York at Oneonta (Oneonta)
521,Saint John's University (NY),St. John's University (Queens)
523,Florida Atlantic University,Florida Atlantic University (Boca Raton)
524,"University of North Carolina, Charlotte",University of North Carolina at Charlotte (Charlotte)
525,Oklahoma City University,Oklahoma City University (Oklahoma City)
526,Abilene Christian University,Abilene Christian University (Abilene)
527,Rider University,Rider University
529,"Embry-Riddle Aeronautical University, Daytona Beach",Embry–Riddle Aeronautical University (Daytona Beach)
530,Maryville College,Maryville College (Maryville)
531,"University of Massachusetts, Boston",University of Massachusetts Boston (Boston)
532,Humboldt State University,Humboldt State University (Arcata)
533,Saint Catherine University,St. Catherine University (Saint Paul)
534,University of the Ozarks,University of the Ozarks (Clarksville)
535,Florida Southern College,Florida Southern College (Lakeland)
536,"University of Colorado, Colorado Springs",University of Colorado Colorado Springs (Colorado Springs)
537,"California State University, East Bay","California State University, East Bay (Hayward)"
538,Farmingdale State College,Farmingdale State College (Town of Oyster Bay)
539,Florida International University,Florida International University (Miami)
540,Carthage College,Carthage College (Kenosha)
541,Rhode Island College,Rhode Island College (Providence)
543,Queens University of Charlotte,Queens University of Charlotte (Charlotte)
544,"University of North Carolina, Greensboro",University of North Carolina at Greensboro (Greensboro)
546,Northern Arizona University,Northern Arizona University (Flagstaff)
547,Grand Valley State University,Grand Valley State University (Allendale Charter Township)
549,Alma College,Alma College (Alma)
550,Loyola University New Orleans,Loyola University New Orleans (New Orleans)
551,Montana Tech of the University of Montana,Montana Tech of the University of Montana (Butte)
552,University of Hartford,University of Hartford (West Hartford)
553,University of Southern Mississippi,University of Southern Mississippi (Hattiesburg)
554,Monmouth College,Monmouth College (Monmouth)
555,Millikin University,Millikin University (Decatur)
556,Utah Valley University,Utah Valley University (Orem)
557,Southern Illinois University Edwardsville,Southern Illinois University Edwardsville (Edwardsville)
558,High Point University,High Point University (High Point)
560,Rocky Mountain College,Rocky Mountain College (Billings)
561,Ball State University,Ball State University (Muncie)
562,Meredith College,Meredith College (Raleigh)
563,Oral Roberts University,Oral Roberts University (Tulsa)
564,Portland State University,Portland State University (Portland)
565,"University of Nebraska, Omaha",University of Nebraska Omaha
566,Saint Cloud State University,St. Cloud State University (St. Cloud)
567,Nova Southeastern University,Nova Southeastern University (Fort Lauderdale)
568,Webster University,Webster University (Webster Groves)
569,Millersville University,Millersville University of Pennsylvania
570,Wichita State University,Wichita State University (Wichita)
571,University of New Orleans,University of New Orleans (New Orleans)
